CS Rank,Name,CV CG Viz Papers Geom Mean Count,CV CG Viz Faculty
1,Zhejiang University,19,48
2,Stanford University,12.9,23
3,Peking University,12.8,51
4,University of Maryland - College Park,12.6,22
5,Max Planck Society,12.2,8
6,ETH Zurich,12.1,15
7,KAIST,12,29
8,University of Toronto,11.4,20
9,KAUST,11.1,7
10,Univ. of California - San Diego,10.3,25
10,University College London,10.3,16
12,Carnegie Mellon University,10.1,34
13,Tsinghua University,9.8,46
14,Chinese University of Hong Kong,9.7,14
14,Simon Fraser University,9.7,16
16,TU Munich,9.6,11
17,HKUST,8.8,23
18,University of Washington,8.7,20
19,Massachusetts Institute of Technology,8.4,26
20,Chinese Academy of Sciences,7.7,33
21,University of Wisconsin - Madison,7.5,12
22,University of British Columbia,7.3,16
23,Seoul National University,7.2,13
23,Univ. of California - Berkeley,7.2,24
25,Cornell University,7.1,18
26,EPFL,7,11
27,Stony Brook University,6.9,18
28,Georgia Institute of Technology,6.7,15
28,Tel Aviv University,6.7,7
30,University of Edinburgh,6.5,8
31,New York University,6.3,11
31,University of Tokyo,6.3,17
33,Univ. of California - Santa Barbara,5.8,9
34,University of Central Florida,5.6,18
35,City University of Hong Kong,5.4,14
35,Graz University of Technology,5.4,10
37,Columbia University,5.2,11
37,Shanghai Jiao Tong University,5.2,27
37,Shenzhen University,5.2,17
40,University of Waterloo,5,8
41,Nanyang Technological University,4.7,23
41,TU Delft,4.7,9
41,University of Pennsylvania,4.7,10
44,University of Hong Kong,4.6,7
45,Ohio State University,4.5,7
45,ShanghaiTech University,4.5,13
45,Texas A&M University,4.5,7
45,Univ. of California - Davis,4.5,7
45,Univ. of Illinois at Urbana-Champaign,4.5,28
45,University of Utah,4.5,15
51,Technion,4.4,16
51,University of Bonn,4.4,6
51,University of Massachusetts Amherst,4.4,10
51,University of North Carolina,4.4,11
51,University of Tübingen,4.4,10
56,Michigan State University,4.3,10
57,Northeastern University,4.2,14
57,Oregon State University,4.2,9
57,Rutgers University,4.2,10
60,Boston University,4.1,10
60,University of Texas at Austin,4.1,14
62,MBZUAI,4,11
62,University of Surrey,4,13
64,Clemson University,3.9,12
64,POSTECH,3.9,14
66,Johns Hopkins University,3.8,8
66,Princeton University,3.8,7
66,RWTH Aachen,3.8,5
66,University of Würzburg,3.8,4
70,George Mason University,3.7,6
70,Nanjing University,3.7,15
70,Sun Yat-sen University,3.7,10
70,University of Adelaide,3.7,12
70,University of Michigan,3.7,11
75,Brown University,3.6,6
