CWUR 2021-2022 Rank,Name
1,Harvard University
2,Massachusetts Institute of Technology
3,Stanford University
4,University of Cambridge
5,University of Oxford
6,Princeton University
7,Columbia University
8,University of Chicago
9,University of Pennsylvania
10,Yale University
11,California Institute of Technology
12,"University of California, Berkeley"
13,University of Tokyo
14,Cornell University
15,"University of Michigan, Ann Arbor"
16,Johns Hopkins University
17,Northwestern University
18,"University of California, Los Angeles"
19,University College London
20,Duke University
21,PSL University
22,University of Illinois at Urbana–Champaign
23,University of Washington - Seattle
24,University of Toronto
25,University of Wisconsin–Madison
26,New York University
27,McGill University
28,Kyoto University
29,ETH Zurich
30,Imperial College London
31,Seoul National University
32,Paris-Saclay University
33,University of Texas at Austin
34,"University of California, San Diego"
35,Karolinska Institute
36,Sorbonne University
37,University of Copenhagen
38,"University of California, San Francisco"
39,University of North Carolina at Chapel Hill
40,Dartmouth College
41,Institut Polytechnique de Paris
42,University of Paris
43,King's College London
44,Ludwig Maximilian University of Munich
45,University of Edinburgh
46,University of Minnesota - Twin Cities
47,Washington University in St. Louis
48,University of British Columbia
49,Rockefeller University
50,Rutgers University–New Brunswick
51,University of Southern California
52,"University of California, Davis"
53,Vanderbilt University
54,Pennsylvania State University
55,Free University of Berlin
56,Ohio State University
57,University of Manchester
58,Tsinghua University
59,Peking University
60,Humboldt University of Berlin
61,Purdue University
62,University of Texas Southwestern Medical Center
63,University of Melbourne
64,Hebrew University of Jerusalem
65,University of Zurich
66,Brown University
67,Weizmann Institute of Science
68,University of Colorado Boulder
69,University of Virginia
70,Heidelberg University
71,Utrecht University
72,University of Pittsburgh
73,University of Chinese Academy of Sciences
74,"Texas A&M University, College Station"
75,"University of Maryland, College Park"
76,Georgia Institute of Technology
77,University of Oslo
78,Osaka University
79,University of Birmingham
80,Technical University of Munich
81,University of Alberta
82,"University of California, Irvine"
83,University of Rochester
84,University of Amsterdam
85,Carnegie Mellon University
86,University of Florida
87,Leiden University
88,Uppsala University
89,National University of Singapore
90,National Taiwan University
91,University of Bristol
92,University of Göttingen
93,University of Arizona
94,Boston University
95,"University of California, Santa Barbara"
96,Erasmus University Rotterdam
97,Keio University
98,University of Sydney
99,University of Geneva
100,University of Basel
101,University of Leeds
102,Shanghai Jiao Tong University
103,University of Groningen
104,École Polytechnique Fédérale de Lausanne
105,University of São Paulo
106,University of Texas MD Anderson Cancer Center
107,Aarhus University
108,University of Tübingen
109,University of Queensland
110,Zhejiang University
111,Indiana University Bloomington
112,University of Utah
113,Sapienza University of Rome
114,University of New South Wales
115,Fudan University
116,KU Leuven
117,University of Southampton
118,University of Helsinki
119,INSEAD
120,University of Montreal
121,Ghent University
122,University of Freiburg
123,University of Bonn
124,Emory University
125,Australian National University
126,University of Glasgow
127,Baylor College of Medicine
128,Monash University
129,Case Western Reserve University
130,Nagoya University
131,University of Barcelona
132,Tohoku University
133,Goethe University Frankfurt
134,Tufts University
135,University of Nottingham
136,Nanyang Technological University
137,University of Liverpool
138,Grenoble Alpes University
139,University of Science and Technology of China
140,KTH Royal Institute of Technology
141,Lund University
142,VU Amsterdam
143,University of Bern
144,Stockholm University
145,University of Iowa
146,Michigan State University
147,Rice University
148,University of Strasbourg
149,University of Colorado Anschutz Medical Campus
150,University of Sheffield
151,Tokyo Institute of Technology
152,Tel Aviv University
153,Sun Yat-sen University
154,Queen Mary University of London
155,Radboud University
156,University of Western Australia
157,Aix-Marseille University
158,University of Massachusetts Amherst
159,Cardiff University
160,Huazhong University of Science and Technology
161,Technion – Israel Institute of Technology
162,Nanjing University
163,Korea University
164,McMaster University
165,University of Padova
166,University of Hamburg
167,Iowa State University
168,University of Montpellier
169,Yonsei University
170,University of Notre Dame
171,University of Hong Kong
172,Icahn School of Medicine at Mount Sinai
173,University of Gothenburg
174,University of Warwick
175,École nationale d'administration
176,University of Milan
177,University of Bologna
178,Newcastle University
179,University of Alabama at Birmingham
180,Wageningen University & Research
181,Arizona State University
182,Norwegian University of Science and Technology
183,Western University
184,University of Cologne
185,University of Kansas
186,Autonomous University of Barcelona
187,Chinese University of Hong Kong
188,Waseda University
189,University of Lausanne
190,University of Calgary
191,North Carolina State University
192,Sungkyunkwan University
193,University of Münster
194,Lomonosov Moscow State University
195,University of Connecticut
196,Technical University of Denmark
197,Université catholique de Louvain
198,Stony Brook University
199,Brandeis University
200,University of Waterloo
201,University of Lisbon
202,University of Ottawa
203,University of Würzburg
204,University of Georgia
205,Xi'an Jiaotong University
206,Harbin Institute of Technology
207,University of Vienna
208,Johannes Gutenberg University Mainz
209,Yeshiva University
210,Technical University of Dresden
211,RWTH Aachen University
212,The Scripps Research Institute
213,University of Adelaide
214,University of Illinois at Chicago
215,Wuhan University
216,Kiel University
217,University of Missouri–Columbia
218,Trinity College Dublin
219,Université libre de Bruxelles
220,Hokkaido University
221,Claude Bernard University Lyon 1
222,Xiamen University
223,KAIST
224,Kyushu University
225,Shandong University
226,University of Miami
227,University of Erlangen–Nuremberg
228,Georgetown University
229,Hong Kong University of Science and Technology
230,University of Turin
231,Tianjin University
232,London School of Hygiene & Tropical Medicine
233,Charles University in Prague
234,Karlsruhe Institute of Technology
235,P.N. Lebedev Physical Institute of the Russian Academy of Sciences
236,University of Cincinnati
237,Wake Forest University
238,University of Naples Federico II
239,Paul Sabatier University
240,Sichuan University
241,University of Sussex
242,"University of California, Riverside"
243,University of Bordeaux
244,University of Texas Health Science Center at Houston
245,University of Leicester
246,University of Reading
247,Complutense University of Madrid
248,Jilin University
249,Nankai University
250,Maastricht University
251,"University of Tennessee, Knoxville"
252,HEC Paris
253,South China University of Technology
254,Virginia Commonwealth University
255,Colorado State University
256,Tongji University
257,University of Houston
258,University of Florence
259,Delft University of Technology
260,Southeast University
261,University of Tsukuba
262,University of Auckland
263,University of Exeter
264,National and Kapodistrian University of Athens
265,University of Pisa
266,City University of Hong Kong
267,Hong Kong Polytechnic University
268,Oregon Health & Science University
269,University of Cape Town
270,Oregon State University
271,Virginia Tech
272,University of East Anglia
273,Central South University
274,University of Manitoba
275,Florida State University
276,University of Bergen
277,"Soochow University, China"
278,King Abdulaziz University
279,Leipzig University
280,University of Aberdeen
281,University of Genoa
282,Autonomous University of Madrid
283,University of Massachusetts Medical School
284,"University of California, Santa Cruz"
285,University of Lorraine
286,"University of Maryland, Baltimore"
287,National Autonomous University of Mexico
288,University of Valencia
289,University College Dublin
