No,Name,Negara,QS 2022,CWUR 2021-2022 Rank,THE Rank 2022,CS Rank,CV CG Viz Papers Geom Mean Count,CV CG Viz Faculty
1,University of Oxford,Inggris,2.0,5.0,1.0,193.0,1.8,8.0
2,Harvard University,Amerika Serikat,5.0,1.0,2.0,118.0,2.7,4.0
3,Stanford University,Amerika Serikat,3.0,3.0,4.0,2.0,12.9,23.0
4,Massachusetts Institute of Technology (MIT),Amerika Serikat,1.0,2.0,5.0,19.0,8.4,26.0
5,University of Cambridge,Inggris,3.0,4.0,5.0,144.0,2.3,7.0
6,California Institute of Technology (Caltech),Amerika Serikat,6.0,11.0,2.0,81.0,3.4,5.0
7,University of Chicago,Amerika Serikat,10.0,8.0,10.0,125.0,2.6,8.0
8,Yale University,Amerika Serikat,14.0,10.0,9.0,169.0,2.0,5.0
9,Princeton University,Amerika Serikat,20.0,6.0,7.0,66.0,3.8,7.0
10,Imperial College London,Inggris,7.0,30.0,12.0,81.0,3.4,11.0
11,University of Pennsylvania,Amerika Serikat,13.0,9.0,13.0,41.0,4.7,10.0
12,Columbia University,Amerika Serikat,19.0,7.0,11.0,37.0,5.2,11.0
13,ETH Zurich - Swiss Federal Institute of Technology,Swiss,8.0,29.0,15.0,,,
14,UCL (University College London),Inggris,8.0,19.0,18.0,10.0,10.3,16.0
15,"University of California, Berkeley (UCB)",Amerika Serikat,32.0,12.0,8.0,,,
16,Johns Hopkins University,Amerika Serikat,25.0,16.0,13.0,66.0,3.8,8.0
17,Tsinghua University,Tiongkok,17.0,58.0,16.0,13.0,9.8,46.0
18,Cornell University,Amerika Serikat,21.0,14.0,22.0,25.0,7.1,18.0
19,University of Toronto,Kanada,26.0,24.0,18.0,8.0,11.4,20.0
20,Peking University,Tiongkok,18.0,59.0,16.0,3.0,12.8,51.0
21,University of Michigan-Ann Arbor,Amerika Serikat,23.0,15.0,24.0,,,
22,The University of Edinburgh,Inggris,16.0,45.0,30.0,30.0,6.5,8.0
23,"University of California, Los Angeles (UCLA)",Amerika Serikat,40.0,18.0,20.0,,,
24,National University of Singapore (NUS),Singapura,11.0,89.0,21.0,100.0,3.0,16.0
25,The University of Tokyo,Jepang,23.0,13.0,35.0,31.0,6.3,17.0
26,Northwestern University,Amerika Serikat,30.0,17.0,24.0,132.0,2.5,6.0
27,New York University (NYU),Amerika Serikat,42.0,26.0,26.0,31.0,6.3,11.0
28,The University of Melbourne,Australia,37.0,63.0,33.0,149.0,2.2,10.0
29,"University of California, San Diego (UCSD)",Amerika Serikat,48.0,34.0,34.0,,,
30,Duke University,Amerika Serikat,52.0,20.0,23.0,169.0,2.0,10.0
31,King's College London,Inggris,35.0,43.0,35.0,214.0,1.6,3.0
